OBJECTID,ID,P_UST,P_LDPNT_D2,P_DSLPM_D2,P_CANCR_D2,P_RESP_D2,P_PTRAF_D2,P_PWDIS_D2,P_PNPL_D2,P_PRMP_D2,P_PTSDF_D2,P_OZONE_D2,P_PM25_D2,P_UST_D2
40293,110010020012,71.8238306,77.66136257,66.74743403,63.98648931,62.87308066,83.14047755,76.57713815,67.17790639,62.23469538,81.78219785,63.33085066,63.1758373,71.094221
40294,110010020021,86.44570015,74.92043031,63.84855928,61.56865658,61.53706137,76.61360716,72.0879292,64.56444861,62.72274042,78.92133829,61.44976283,61.39274795,71.94159428
40295,110010020022,88.31004167,97.68615208,90.27988788,89.08690738,88.76798615,97.15004065,80.76122069,85.72121316,75.34792957,97.43226495,85.79225423,84.39284512,92.99446062
40296,110010020023,77.80813579,92.86071663,81.98031042,78.48682603,78.19441839,93.57109143,78.30510504,79.90283329,72.52557085,95.26559999,75.44301895,74.58243552,82.52189902
40297,110010021011,93.4282806,94.84503484,86.29913263,84.59186066,84.26352099,94.12218362,78.61706594,83.17134125,73.28764287,96.30150509,81.24182569,80.01486383,94.07141156
40298,110010021012,87.31368278,94.66820609,86.00492501,84.24954805,83.92100534,89.02100484,78.06991436,83.21052529,75.70219099,96.27219557,80.91754484,79.7025214,90.24701283
40299,110010021013,93.9341211,92.16546814,80.81899586,77.85513408,77.6166045,80.59323639,76.63052513,79.73286122,75.48225066,94.26634215,74.89175351,74.06064749,91.42422283
40300,110010021014,86.24202152,72.55748421,62.07477867,60.50383737,60.47409975,70.69243947,70.23184979,62.69219772,61.34884138,77.56304214,60.65098626,60.62353622,70.24150164
40301,110010021015,95.24223956,87.93026444,79.44351777,76.28517173,76.10587654,89.63187353,77.08403993,78.38521758,69.43086465,93.78018391,73.43906707,72.76510873,91.7471544
40302,110010021021,96.47965146,86.64280716,75.53832041,69.19949271,71.89918936,90.53156572,74.48403011,75.45614159,70.68471384,91.40902754,69.84963504,69.36657321,90.40842343
40303,110010021022,97.61927033,85.69691589,77.49311509,71.01255956,74.00944579,95.24340481,74.58980304,77.50258538,73.47155572,92.38714862,71.61192749,71.05849239,93.25787197
40304,110010021023,98.5167015,93.7495778,84.71686133,78.45465187,82.49929753,96.2892936,76.54978841,82.77372344,78.43393529,97.25971405,79.53226521,78.40119481,97.39031734
