OBJECTID,GEOID10,Lead Paint,Diesel Particulate Matter,Air Toxics Cancer Risk,Air Toxics Respiratory HI,Traffic Proximity,Wastewater Discharge,Superfund Proximity,RMP Facility Proximity,Hazardous Waste Proximity,Ozone,Particulater Patter 2.5,Underground Storage Tanks
40363,110010037003,70.55,67.73,63.78,63.72,84.56,72.90,69.98,67.89,89.88,63.12,63.03,88.16
40364,110010038001,12.53,8.11,17.81,17.70,0.97,25.72,13.82,13.89,0.21,28.80,28.30,0.42
40365,110010038002,6.59,10.41,21.43,21.21,0.87,28.03,15.19,14.87,0.26,32.53,32.05,0.59
40366,110010038003,84.35,80.21,74.92,74.70,94.63,78.85,80.16,76.33,97.56,72.12,71.63,91.22
40367,110010039001,4.53,12.46,23.94,23.71,1.03,25.26,17.91,16.83,0.34,35.03,34.60,63.67
40368,110010039002,5.60,15.63,28.16,27.89,2.64,21.12,20.80,21.25,0.47,38.97,38.52,10.22
40369,110010039003,6.76,13.24,25.03,24.83,1.21,24.40,18.52,18.06,0.31,36.08,35.64,1.83
40370,110010039004,4.51,13.80,25.81,25.60,2.22,21.56,19.17,19.55,0.36,36.80,36.39,4.17
40371,110010040011,0.63,4.26,11.09,11.01,0.41,20.37,10.60,12.16,0.15,20.60,20.12,0.70
40372,110010040012,4.02,10.52,21.99,21.80,0.61,24.34,16.30,18.42,0.32,33.11,32.67,3.52
40373,110010040013,2.30,6.01,14.54,14.48,0.48,19.13,12.62,14.83,0.20,25.06,24.58,3.50
40374,110010040021,7.03,16.31,30.08,29.80,1.48,27.13,20.92,21.77,0.47,40.57,40.18,1.78
40375,110010040022,0.42,2.09,6.02,6.08,0.17,22.76,6.95,8.57,0.07,13.09,12.67,0.08
40376,110010040023,12.46,18.41,32.57,32.26,1.31,28.11,22.05,24.29,0.55,42.50,42.16,5.21
40377,110010041001,1.81,6.92,17.91,17.79,0.58,23.94,13.91,17.04,0.24,28.91,28.43,3.62
40378,110010041002,15.79,24.42,40.22,39.81,2.14,25.94,28.24,34.02,1.06,47.84,47.65,16.28
40379,110010041003,8.15,18.74,34.32,33.98,0.51,23.18,23.59,31.68,0.62,43.81,43.52,15.55
40380,110010042011,7.25,14.15,28.17,27.90,0.82,30.69,18.26,18.59,0.35,39.04,38.56,0.68
40381,110010042012,0.04,0.83,2.77,2.81,0.08,23.05,4.06,5.05,0.03,6.54,6.25,0.05
40382,110010042021,3.01,5.46,15.16,15.08,0.31,25.65,11.30,14.13,0.15,25.82,25.31,15.49
40383,110010042022,6.53,11.11,24.75,24.53,0.73,27.66,16.82,19.27,0.31,35.91,35.41,18.97
40384,110010043001,21.82,29.02,43.64,43.27,2.28,34.35,29.07,27.50,0.90,49.99,49.87,1.29
40385,110010043002,2.43,5.05,13.34,13.27,0.30,28.90,9.84,10.25,0.12,23.61,23.07,0.11
40386,110010044001,9.18,1.43,4.46,4.47,0.13,26.59,4.92,3.45,0.02,10.17,9.77,0.01
40387,110010044002,4.61,5.89,15.08,15.02,0.40,30.63,9.88,8.04,0.11,25.75,25.21,0.03
40388,110010046001,81.84,74.05,67.93,67.80,93.23,,78.63,75.89,92.73,66.33,66.15,87.86
40389,110010046002,29.18,42.08,52.50,52.44,7.79,48.04,36.28,32.79,5.00,55.34,55.30,7.11
40390,110010047011,85.79,92.50,88.32,87.99,98.87,,93.55,87.31,99.25,84.61,83.57,92.85
40391,110010047012,82.08,92.74,88.68,88.35,99.26,67.18,93.36,87.00,99.48,85.03,83.93,95.31
40392,110010047021,44.54,19.86,36.71,36.32,0.49,48.84,15.64,21.17,0.60,45.69,45.26,4.99
40393,110010048011,15.28,18.01,33.88,33.49,0.98,35.70,17.95,14.39,0.50,43.55,43.11,0.36
40394,110010048021,21.97,9.94,24.30,24.10,0.80,36.14,10.98,12.43,0.32,35.65,35.00,2.15
40395,110010048022,88.16,93.51,89.81,89.51,97.99,77.33,93.06,87.48,99.65,86.32,85.14,94.06
40396,110010049011,87.03,83.74,77.18,76.95,96.87,75.25,84.44,81.78,98.26,74.09,73.49,96.66
40397,110010049012,30.01,23.86,40.26,39.84,1.92,35.95,22.72,21.76,0.72,47.93,47.67,5.99
40398,110010049021,83.29,83.72,76.77,76.58,94.79,75.30,85.01,79.77,98.09,73.68,73.15,86.61
